Username,Time,Tweet,Retweets,Likes,Interaction Count
searlo Driving Crooner fleet,2023-09-27T23:53:48.000Z,"Dame to Bucks over Heat = 

Celts having to play against Bucks defence with Dame offense = ",0,1,11
CHGO Bulls,2023-09-27T22:32:32.000Z,"On today's show, 
@Bulls_Peck
 & 
@BawlSports
 broke down a LOT of Bulls & NBA news:

how does Dame to Bucks affect Bulls?
 Arturas Karnisovas & Marc Eversley speak...what made sense and what didn't?
 DeMar shoots down rebuild idea",3,10,13
4𝘵𝘩𝘘𝘶𝘢𝘳𝘵𝘦𝘳𝘋𝘦𝘔𝘢𝘳,2023-09-27T22:12:05.000Z,"Yeah except KD went to the team that lost the finals, Dame went to a first round exit",0,1,11
Scott Tobias,2023-09-27T23:28:42.000Z,Me mainlining “emergency pods” on this Dame-to-the-Bucks trade.,0,25,25
Nick (boston sports enjoyer),2023-09-27T23:00:46.000Z,"Jimmy using Dame celebrations: Flirting
Bucks getting Giannis’ “preferred teammate”: harassment",1,29,30
Dcentric,2023-09-27T22:25:51.000Z,When’s the roster update?  tryna cook someone with the Bucks.,0,7,17
Tglizz,2023-09-27T23:50:32.000Z,"He already had this song pre recorded and ready to drop lol! Good luck with the Bucks Dame, don’t worry about what the haters and critics say!",3,33,36
Fexi,2023-09-27T23:01:02.000Z,i will stop them,0,0,10
yoyocoño,2023-09-27T23:03:30.000Z,Absolutely fucking not,0,18,18
Timothy J Henton,2023-09-27T23:59:32.000Z,Thanks so much Dame for an amazing decade.  Rooting for you!,0,4,14
reese,2023-09-27T22:29:54.000Z,If harden had comparable value to jrue in trade landscape wouldnt sixers have been able to do the same deal for dame bucks just did? So i assume would need more assets,0,1,11
R・クライド(Clyde),2023-09-27T22:20:02.000Z,"Dame,Thank you for everything

Best wishes for your career",0,1,11
ESPN 1000,2023-09-27T22:59:31.000Z,"9/27 Waddle & Silvy Pod- 
@WaddleandSilvy
 @TWaddle87
-Seiya's slip up and Brant Brown flashbacks
-
@JesseRogersESPN
 from Atlanta
-Justin Fields addresses his struggles
-Dame to the Bucks, Bulls sit out
-
@RealMikeWilbon
Listen on the ESPN Chicago App:",6,5,11
