Username,Time,Tweet,Retweets,Likes,Interaction Count
BBall Index,2023-09-27T19:48:18.000Z,The Bucks upgraded their offense today in a big way. Dame had the top O-LEBRON in the league last season,2,27,29
Kevin,2023-09-27T18:56:42.000Z,The Bucks’ offense will have even less seasoning and it’ll still go down fine cus Dame’s range fixes all with this squad,0,3,13
Jordan’s Wife saw Beyoncé twice!,2023-09-27T18:44:10.000Z,Bucks gain offense from dame but also lose a lot of defense so it’s a toss up imo. A healthy middleton and that team is dangerous but without him I’m not buying it,0,0,10
Yass95,2023-09-27T18:29:39.000Z,"deal insane for the bucks, playoff offense got so much better and consistent with dame (jrue was so bad shooting in the playoff even when they won)",0,1,11
think.™ ▀▀▀▀▀▀▀▀,2023-09-27T18:59:51.000Z,The Bucks chose offense instead of defense to appease Giannis who has said he’s not opposed to leaving for greener pastures… defense wins championships.,0,1,11
Joe Viray,2023-09-27T23:27:59.000Z,"The Bucks are gonna dish out absolute filth on offense this season, good lord. That said, looking forward to seeing what Adrian Griffin has cooked up in terms of half-court offense. He certainly has the ingredients for it.",2,24,26
#WhiteHotSox,2023-09-27T18:50:49.000Z,Hot take…this doesn’t significantly improve the Bucks. Offense sure they’ll score more but losing Holiday’s defense is bigger than people realize,0,0,10
Josh Otter,2023-09-27T19:21:33.000Z,"Helps bucks offense yes but hurt there defense and 6th man, Portland got a really great defender and center mostly mid but who knows if change of location will help, suns got depth so good for them",0,0,10
Darth Lord B2,2023-09-27T20:12:56.000Z,There was nothing wrong with the Bucks offense. Their issue is they can’t guard really good guards & wings and they still can’t. Now it’s even worst and JT will continue target Lopez as well as their wings. JT is their problem and they have done nothing to solve it. ,1,0,11
500,2023-09-27T21:16:36.000Z,"1. I don’t get what the Suns were doing here, I just don’t.

2. Damian Lillard will make the Bucks half court offense terrifying and even better but I still wonder about their wing depth and overall lack of athleticism on the roster. There’s a trade off.",10,34,44
WBW,2023-09-27T18:40:31.000Z,He could be the Remini for what ails that Bucks half-court offense.,0,1,11
Celtics on top,2023-09-27T18:25:17.000Z,Same I rather of had him go to the heat then the bucks(no offense!,0,1,11
Arbaz Afzal,2023-09-27T19:11:34.000Z,Facts & they lost their best  Perimeter Defender Jrue Holiday too…. But bucks Offense gunna be tuff tho,0,0,10
louisludwig,2023-09-27T19:04:04.000Z,"No.
Love Jrue, one of my favorite players.
Cannot over look how bad his offense has been on the playoffs though. His defense was amazing, yes, but Dame makes the bucks offense nigh unstoppable and they still have a top 10 defense at the VERY worst",0,9,19
Yomi Kazeem,2023-09-27T20:12:20.000Z,"There's no tactical answer for that Bucks offense which means most teams will collapse their defense on Dame/Giannis, and dare Khris Middleton, a ~40% 3-point shooter,  to beat them.",0,5,15
David Wekselbaum,2023-09-27T19:34:24.000Z,"Dame addresses the primary reason the Bucks offense fails in key playoff moments in recent years. Will be at the expense of elite perimeter defense, but possible that balances out. I think it unlocks Giannis to only focus on what he’s generational at.",0,4,14
Corey B,2023-09-27T18:46:00.000Z,I think Bucks offense just got very scary. I also think their defense took a huge hit and their title window is probably two years deep now,0,1,11
Brad Fischer,2023-09-27T18:53:11.000Z,"Two years ago the Bucks lost to the Celtics cause of their offense (no Middleton a huge part obviously). Last year they lost cause of their defense WITH Jrue. 

I welcome a reshaping",0,11,11
Tony Biasotti,2023-09-27T21:47:39.000Z,Interesting. This will make the Bucks offense better but their defense worse. Better deal for Portland than what Miami had to offer. Nurkic is a downgrade for the Suns but they apparently felt like it was over with Ayton.,0,0,10
,2023-09-27T19:48:03.000Z,"Bucks offense in the playoffs got pretty stagnant every year, even during our title run.",0,1,11
Raheem Palmer,2023-09-27T18:56:00.000Z,"Strongly disagree. For as bad as the Bucks postseason offense has been, I'd gladly give up Jrue at this stage of his career for Dame who should drastically improve their postseason offense. In all honesty, Jrue was getting cooked by Jimmy in the postseason too.",1,67,68
Gabby Hurlbut,2023-09-27T19:51:00.000Z,That Bucks offense is gonna be a force,0,2,12
Shawn,2023-09-27T20:14:12.000Z,"Hate that they gave up Jrue, but they needed another consistent scorer. With the league catering to offense, the bucks are going to be very very tough.",0,8,18
21st Century Spike Spiegal,2023-09-27T21:32:55.000Z,Personally I feel like it’ll be dame and freak taking turns + dame being good enough playmaker to make it work with a 1-2 punch with freak ofc. Not like bucks offense imo been elite or anything there identity always been defense,0,1,11
Ben Alterman,2023-09-27T18:53:55.000Z,Yeah. Bucks offense stalled out in playoffs because of no shot creation. Home run trade for them.,0,0,10
Caleb Harold,2023-09-27T18:45:25.000Z,But how much better does the make the Bucks though? Don’t DG and Spida just kill the Bucks on offense now? No defense at the guard position looks great with how our team is built,0,12,12
Sneaker2914,2023-09-27T20:57:13.000Z,I'm actually not worried about Bucks. No point of attack player. Holiday brought that defense they needed. Now Bucks go full offense and lose their defensive anchor. Just like Boston went with more offense.,0,1,11
NWOT-LIM.. (15-7),2023-09-27T19:42:44.000Z,Bucks needed sure offense to help Giannis not get focused on every single game.. we got it now.. ,0,4,14
'Wale,2023-09-27T23:05:58.000Z,Defense by committee chief. Don’t you worry. Adrian Griffin’s offensive philosophy is predicated on having a strong swarming defense. He believes in across the board defense driving the offense. Bucks will refactor and charge. Don’t worry about the loss of Jrue.,0,1,11
Ara Tazian,2023-09-27T19:46:21.000Z,I think Dame is a better fit. His high volume and accuracy from well behind the 3-point line will supercharge the Bucks offense. The Bucks are well configured to cover his shortcomings on defense. Plus Dame has been a lot better in playoffs than Jrue.,0,0,10
SecretMarquette,2023-09-27T19:02:43.000Z,"It is every game, both regular season and playoffs. It's probably my favorite source for stat nerdy NBA stuff. 

Dame is clearly a better overall fit because the bucks need offense instead of defense. 

It is still close to equal than it seems.",0,0,10
craig | ginger whom enjoys puro,2023-09-27T19:51:13.000Z,"it’s also such a great fit for Giannis. giving someone like Dame who can space the floor even more, at an elite level, and still good enough as a playmaker to get good looks for Giannis inside is really good for the Bucks offense. defense aside, great move for them.",0,0,10
johanj,2023-09-27T23:51:29.000Z,The bucks defense got worse but the bucks are still going to be elite defensively bc they still have Giannis and brook on the team and I think giannis will have his most efficient season with dame bc he doesn’t have to be the whole bucks offense now,0,0,10
Franklin St Patrick,2023-09-27T18:59:07.000Z,"I completely agree except for the fact I don’t think the bucks sacrificed everything for offense like the nets and suns did . Those teams barely had any defense outside of claxton and okogie. The bucks still have Lopez , Middleton , Portis , crowder . Still a very physical team",0,3,13
SAMHINKIESGHOST,2023-09-27T18:22:41.000Z,Losing Holiday is huge defensive loss for the Bucks. The offense shouldn’t look like it’s stick in the mud anymore though. Jure has to be going somewhere else though. I can’t see him staying in Portland,0,0,10
jt likes ball,2023-09-27T20:51:50.000Z,"That’s why i said OFFENSIVE issues. It’s not about star power it’s about fit and playing off eachother. The glaring holes in the bucks offense is exactly what same provides at a level that only 2 or 3 guards can. I see your point, but those teams had a lot of issues",0,1,11
Paul George,2023-09-27T18:55:26.000Z,"Heat don’t get Dame which is hilarious

Bucks add offense and playmaking but lose defense and height (I’m less familiar with Jrue’s playmaking ability)

But who is gonna guard the J’s on the wings? Jrue was better for that than Dame will be

Trade seems good for us lowkey ",0,0,10
Raheem Palmer,2023-09-27T18:37:27.000Z,"The Bucks offense was always so shaky in the postseason & Dame will drastically change that. 

This team would go through prolonged droughts that were downright frustrating to watch and made them impossible to bet on at times.",2,7,19
Paul Henning,2023-09-27T23:07:19.000Z,"Acquiring Jrue Holiday was the piece that pushed Bucks over the top and won our first championship in 50 years. 

He is a Bucks legend forever

But, his playoff offense cratered and his defense was slipping

This was a move Bucks could not let pass by and turn down",1,34,35
Raheem Palmer,2023-09-27T18:43:54.000Z,"To put this in perspective, the Bucks only had a top 5 postseason offense ONCE during an era where the Bucks won their first championship, they won 5 straight Central division titles and Giannis won 2 MVPs. Their playoff offense was not IT.",1,6,17
Graig Robinson,2023-09-27T19:48:38.000Z,And doeant doo shit to enhance the Bucks offense except make the floor smaller for a giannas who can't shoot either lol,0,0,10
JT 4 MVP,2023-09-27T23:05:20.000Z,"the bucks halfcourt offense was garbage. every series they’ve lost in the last 5 years has been because of their halfcourt offense. their biggest issue was half court offense, and they got one of the best half court offensive engines in the league for scraps. it’s that simple.",0,1,11
Knowledge,2023-09-27T20:43:41.000Z,"@Bucks
  traded offense for defense. They are banking offense winning championships now. Jrue brought average to slightly above average offense with elite defense. 
@Dame_Lillard
  brings elite offense with horrendous defense. I doubt this a recipe for a championship.",0,0,10
Adhithya,2023-09-27T19:30:24.000Z,"For Bucks the HC offense gets better but their strong POA becomes non-existent almost and they down graded in size. Meanwhile Boston got more size, more rim protection, more shooting with Porzingis but still yet to address their late game half court execution issues. Net result?",0,1,11
Jacob,2023-09-27T18:56:02.000Z,"I really like Jrue, but the Bucks offense could get really stagnant down the stretch of games in playoffs. 

And Jrue couldn’t stop Jimmy single handily this playoffs either, or even slow him down tbh. 

End of the day, Giannis needs to stay healthy and make his free throws in…",0,5,15
Indie Gamer Chick,2023-09-27T18:43:43.000Z,"I honestly could see this trade swinging a ring to each of the three teams involved over the rest of the 2020s. If Scoot's ceiling is as high as myself and many think, Ayton is the ideal guy to develop for him and their guards.

Phoenix got depth. Bucks got offense.

WOW WOW WOW!",0,1,11
Verts,2023-09-27T22:13:27.000Z,But what about the actual basketball? Dame boosts a Bucks offense that constantly drags come the postseason. Dame-Giannis and vice versa pick-and-rolls will haunt the league. So much defense to back Dame up. He’s never had this much talent around him.,0,0,10
Stifle-Tower27,2023-09-27T18:26:53.000Z,"“No one will be able to stop Dame and Giannis on offense!!!”

Sure buddy…",3,88,91
Baltej,2023-09-27T18:36:33.000Z,Best interior threat in the league paired with the 2nd best perimeter threat in the league. Giannis/Dame offense is actually gonna be one of the deadliest we've ever seen,6,51,57
K.C.,2023-09-27T18:29:50.000Z,"Dame with Giannis is 60+ wins barring injury

You lose POA defense and switchability but the upgrade in offense is astronomical

A Dame/Giannis high PNR is gonna be very hard to stop 

We’ll what happens in the postseason and the rest of the roster but this is a swing you take",14,41,55
"Tom Gugliotta, shucks",2023-09-27T21:24:12.000Z,So it is a win-win-win trade like you can’t beat a Dame/Giannis combo on offense and Portland got more than anyone thought and should still get more while Phoenix makes their roster make more sense and gets more shots at depth but what my book presupposes is “what if it’s not?”,0,0,10
Robert,2023-09-27T19:29:31.000Z,"Have zero issue with dame asking out of Portland. 

He did his best. 

He deserves a better shot. 

Dame and Giannis on offense will be ",0,0,10
,2023-09-27T18:33:57.000Z,"LMFAOOO NOOOOO 

their offense runs through Giannis, Dame is a ball dominant guard, 3rd seed at best",0,0,10
Al Horford Pacino,2023-09-27T18:41:40.000Z,"I really liked all of the Celtics moves this offseason… in the context of their primary competition not being able to field elite halfcourt offense. 

I just don’t think the moves are enough if Dame and Giannis are healthy.",5,12,17
G00N,2023-09-27T18:26:45.000Z,Wow Dame & Giannis P&R offense will be completely unstoppable ,0,0,10
Josh Moore,2023-09-27T18:35:39.000Z,I cannot wait to watch an offense run around Giannis and Dame,0,0,10
Eagles 10-3,2023-09-27T18:33:06.000Z,Plus Giannis not gonna have the ball as much. We never seem Giannis play without the ball or Dame run a offense through a big,0,1,11
Karan,2023-09-27T18:44:06.000Z,A Dame Giannis offense is just insane my god,0,1,11
HAGRID FROM 3,2023-09-27T19:46:42.000Z,"My hot take: 

Milwaukees offense will be worse with Dame. 

More traditional PG led sets means less inverted bully ball sets. 

This is going to force Giannis to play more of a traditional big man role, which will not go well.",0,6,16
Roc,2023-09-27T20:30:00.000Z,"This is gonna be huge. Offensive fire power. No disrespect to Jrue but having Dame with Khris on those half court sets about to be NASTY..

And that’s not including the potential in Giannis’ post game from the Hakeem workouts. I’m all for trading away some defensive for offense.",2,23,25
Franklin St Patrick,2023-09-27T18:54:12.000Z,Dame and Giannis have no excuses now . That offense is toxic  .,0,2,12
Paco Parcha,2023-09-27T21:46:47.000Z,"I am fucking geeked that Giannis x Dame is now a reality. That pick & roll offense between those two finna be generational  it’s ring or bust now, can’t fucking WAIT  #FearTheDeer",0,2,12
Josh Moore,2023-09-27T18:31:10.000Z,Giannis Dame and Khris is gonna be a juggernaut offense,0,0,10
DyFrex2,2023-09-27T18:20:17.000Z,Wow holy shit.  Dame and Giannis together is going to be a crazy hard offense to stop.  Giannis finally got an elite shooter to play with finally and Dame gets to play with an elite big man for the first time in his career,0,0,10
Neptune,2023-09-27T21:18:44.000Z,"But on a real though,a Dame and Giannis partnership is a match made in heaven on offense. Also the Bucks now have a consistent closer which they showed they needed after the playoffs last year. Jokic and Murray vs Giannis and Dame in the finals is about to feed families",0,0,10
Spencer Dumwiddie,2023-09-27T19:14:44.000Z,Dame and Giannis on the same team is a problem. That offense is too elite,0,0,10
DreZ.,2023-09-27T19:12:47.000Z,"Suns not beating the Nuggets with Nurkic as they center. Jokic gone give him 20/20/10 wit ease. 

Celtics & 76ers will put the Bucks out. They have no offense outside of Giannis & Dame.",0,0,10
swish,2023-09-27T20:01:07.000Z,still worried about their poa defense but dame giannis middleton offense is moving me,0,0,10
,2023-09-27T18:27:16.000Z,"This might be the first super trade I agree with! Giannis and Dame compliment each other perfectly!! 

Giannis lacks pure offense (Dame has)
Dame lacks pure defense (Giannis has)",0,0,10
George Kittle's #1 fan™,2023-09-27T18:28:04.000Z,"Losing Jrue hurts but for Dame, you get offense. Dame and Giannis would be tough",0,0,10
Darrell,2023-09-27T23:32:02.000Z,Dame is better than Murray on offense and Giannis is better than joker on defense.,0,2,12
Drew,2023-09-27T23:40:18.000Z,"Sports fans are weird.

If the Bucks didn't make the Dame trade because they didn't want to lose Jrue's defense, everyone would be losing their mind about how Dame's offense is worth it and how Giannis is going to leave.

Instead they did it and people are crying about defense.",0,0,10
Jeremiah Martin,2023-09-27T18:54:28.000Z,"Picture this..

Dame offense, Jrue defense/offense at the 2,

Then you have Giannis plus the bench they have, bucks will be a issue especially on defense this season. 

#NBA #ESPN",0,0,10
BVS,2023-09-27T22:57:16.000Z,"Exactly. Dame running and Giannis running.

Dame should have set the defensive standard for his team and led that way. Never did.

Giannis should have developed his offense. Never did.

Now they are hoping they fill each other's voids, but it doesn't work like that all the time",0,1,11
Eli Skaljac,2023-09-27T18:44:52.000Z,"Love Jrue, best guard defender in the league.. the gap between him and Dame tho is HUGE. Bucks defense will stay elite as long as Giannis/Brook are there. Dame makes their offense elite as well now. Jrue had been awful offensively in the postseason",0,1,11
Gordon,2023-09-27T22:08:16.000Z,"Yeah does hurt, we’re gonna miss his defense a ton

But it’s gonna be more than worth it for a Dame/Giannis offense",0,0,10
Avon Sparksdale,2023-09-27T18:48:29.000Z,"Like man I would've gave up Middleton because Dame replaces that offense for sure but defensively we're a huge question mark on the perimeter now 

Giannis got what he wanted. Better be ready to step up",0,2,12
Kunmi of #NCTSummit2023,2023-09-27T19:56:59.000Z,"Bro.. 

Giannis Brook and the new rookie on defense

Giannis Dame Middleton on offense",0,0,10
Khris Middleton is Good,2023-09-27T20:09:08.000Z,"The Khris and Giannis pick and roll is already top tier offense, and now you want to throw Dame in the mix? Sheeeeesh",0,18,18
Nav 𝕏,2023-09-27T18:24:07.000Z,LMAOO the east is so stacked now dame and giannis offense is nasty,0,0,10
K,2023-09-27T20:47:51.000Z,dame makes up for a lot on offense which gives giannis less work and more freedom defensively … probably ends up back in dpoy talks,1,0,11
Will,2023-09-27T20:01:18.000Z,"the bucks are going to be really good. dame's spacing on offense is going to unlock giannis, and they retain the defensive backline of brook-giannis-middleton. the only weakness i see is the lack of perimeter defense, but they have versatility on the back end to help with that",0,1,11
Maxi Möllers,2023-09-27T21:11:17.000Z,"Nah bro their offense will go bersek. Dame Giannis pnr with Khris as the shooter 
I see their problem in depth (and maybe health)",0,2,12
Timber style,2023-09-27T19:27:26.000Z,Giannis or dame can have the ball on offense ..not both... giannis isn't a spot shooter that helps dames game,0,0,10
Bucks Breakdown,2023-09-27T19:17:29.000Z,Dame/Giannis 2 man game will feed families. I wonder how Khris works his way into this offense now. I think jrue did a good job of playing the dunker and cutting while he was off ball. Khris does very little of that. He has to be worked into this offense some way.,0,1,11
Dan Greenberg,2023-09-27T18:38:25.000Z,"I think this is a little much ha

They lose perimeter defense which is already a bit of a concern, but they gain an elite offensive option and legit P&R partner for Giannis

Jrue's postseason offense was a problem, Dame is a pretty big upgrade over that",3,130,133
phen,2023-09-27T18:44:15.000Z,Giannis&Dame offense gonna be historic,0,2,12
bailey zappe enthusiast,2023-09-27T19:00:15.000Z,"Bucks: Dame/giannis pnr is terrifying, you can stagger them to rest giannis w/o the offense stalling, and they have the guys behind dame to make up for the downgrade from jrue on defense",0,0,10
Jruth,2023-09-27T19:14:39.000Z,Dame is probably going to run our offense now. Giannis can finally go to a more natural position playing off-ball and focusing on defense more,0,4,14
Kevin Conley,2023-09-27T19:37:49.000Z,"So many options on offense too.
Giannis attacking with dame, jrue and Brook spacing. Dame 2 man games with Giannis and Brook, probably the finals favorite rn",0,1,11
noah,2023-09-27T18:25:42.000Z,we’ll miss jrue’s defense but that’s about it. he didn’t really bring anything offensively during the playoffs and it shot us in the foot when giannis/khris were out so hopefully dame’s offense compensates for that,0,0,10
,2023-09-27T18:58:40.000Z,even if i dont think the bucks are winning a chip im actually very excited to watch them next season. dame and giannis can create great spacing for each other its gonna be insane offense,0,2,12
Avi Wolfman-Arent,2023-09-27T18:25:57.000Z,Dame's offense combined with a defensive spine of Giannis and Brook Lopez...just not sure how you beat that,0,3,13
FletchDaddy531,2023-09-27T19:54:31.000Z,"@DannyMarang
 Dame and Stotts running that offense with Giannis.. got damn.",0,0,10
Vaun,2023-09-27T18:43:31.000Z,"To be fair Giannis was still injured and Dame makes them better than the heat, Giannis, Middleton and Brook can all still play defense, they lost a helluva defense presence but will still be a very good defensive team and even scarier on offense. Who do you double? Dame or Greek",0,1,11
Jeffrey,2023-09-27T20:47:12.000Z,Jrue is a lock but Dame’s offense is better than Jrue’s defense plus Giannis is a beast on defense so he makes up for it. And you saying that like Dame has 0 clamps like curry or Trae young,0,1,11
Anil Sawh,2023-09-27T18:33:42.000Z,"As a Bucks fan, I think we absolutely got better. I love Jrue. Will definitely miss him. But his offense cratered in playoffs. Dame Giannis pick and roll should be unstoppable. I think we have enough defense to cover.",0,2,12
Franklin St Patrick,2023-09-27T18:51:47.000Z,Respectfully I understand.. but I honestly don’t think there’s a defense or offense that can keep up with dame and Giannis on the same court lol you have to give up something . The easy 2 or the 3 from 30 ,1,6,17
Dante Brye,2023-09-27T18:38:34.000Z,Dame/Giannis pick and roll is going to be crazy & with Middleton on the weak side the Bucks may finally have a consistent half court offense. Defensively they get worse & still have no wings but they keep Dame away from Miami who undoubtedly got worse this summer.,0,1,11
Neem Van Vleet,2023-09-27T18:56:08.000Z,It’s so hard to call. We’ve never seen a duo like Giannis and Dame but their offense wasn’t an issue before? Idk.,0,1,11
tutu goggins,2023-09-27T22:16:08.000Z,"The backcourt defense is gonna be terrible but I think that it isn't as important, especially when dame and giannis offense is gonna be BEAUTIFUl. I don't hate the take but I don't agree with it",0,0,10
BVS,2023-09-27T23:14:27.000Z,"Yea and Dame don't play D and Giannis plays Defense but he's not gonna want to step down on the offensive side for Dame and he's gonna have to. Because Middleton shouldn't have to.

Offense is 1) Dame 2) Middleton 3) Giannis.

And he ain't gonna like that. He wants to be the man.",0,1,11
Cyrus Rogers,2023-09-27T19:09:17.000Z,"#Dame to the #Bucks is box office with #Giannis. This swings the East towards Milwaukee. They lose defence, but gain major offense. Do they walk the East? I'm not sure, but they have more firepower. Let's not forget how well the Suns & Blazers have done too.",0,2,12
T,2023-09-27T18:29:37.000Z,"Exactly, it’s gonna be so much fun to see Dame and Giannis along with Middleton play on offense.",0,1,11
PD,2023-09-27T19:00:52.000Z,"this is probably a pretty amazing regular season team, the floor raising power of giannis + brook on defense and dame on offense gives this team potential to win a ton of RS games

but i see deep flaws that will be exploited in the postseason on both ends",0,1,11
Bill DiFilippo,2023-09-27T19:59:16.000Z,"i've seen the ""don't discount how good jrue is on defense"" stuff and get it but: 1. dame is better on offense than jrue is on defense, 2. if teams blow by dame on the perimeter they then have to deal with ""oh shit giannis and brook lopez are here,"" which is a nightmare https://twitter.com/NBACouchside/status/1707121974105821455…",0,5,15
Jay Garcia,2023-09-27T22:17:23.000Z,They're gonna have to get a defensive SG and let the offense run thru Giannis & Dame & Middleton,0,0,10
(J.I.F),2023-09-27T20:48:37.000Z,I’m not too moved by this trade… Dame better work on his playmaking unless Giannis going run the offense and dame playing off ball…. Bucks backcourt defense looking nasty as well ,0,4,14
Coopz,2023-09-27T18:52:37.000Z,Khris is a luxury at this point. Dame and Giannis are beyond enough to carry that load on offense,0,2,12
A-Dub,2023-09-27T18:35:58.000Z,I can’t say this is a good move or bad move…Jrue Holiday played well on offense and defense and helped Bucks win a chip. We know Dame brings the offense at an elite level.  Dame and Giannis got to win a chip together…,0,0,10
JJ,2023-09-27T18:33:23.000Z,What we lost defensively with Jrue will be out gained in offense. Pick and roll with Dame and Giannis/Brook/Bobby especially with the latter two ability to shoot will be crazy,0,0,10
Kyle Russell,2023-09-27T21:09:41.000Z,"Giannis provides a solid floor defensively, but if Middleton and Lopez start to show their age the Bucks may not have an elite defense anymore. At least they won’t die on offense since they can go to Dame/Giannis PnR.

I think a top 3 seed, and should we meet Heat in 6.",1,6,17
Gav,2023-09-27T18:54:28.000Z,"Can’t build a wall against Giannis with Dame facilitating from the perimeter, it will make 34’s life easier on offense. I love Jrue and he will be missed but the team is objectively better",1,10,11
T-Keys2022,2023-09-27T20:42:44.000Z,"All this means is that Philly will definitely not make it past the 2nd round. Nick Nurse has his work cut out for him. Especially with a disgruntled Harden. By the way, Milwaukee struggled with offense last year, not defense. Dame is exactly what they needed. Giannis' consistent…",0,10,10
MMckenzie73,2023-09-27T18:52:30.000Z,Yeah it does sadly as a Celtics fan. Even if Middleton continues to be unhealthy and unreliable nobody is stopping at offense that has Giannis and Dame. Not to mention Great offensive rebounding from Portis and Lopez.,0,0,10
Dante Brye,2023-09-27T20:18:38.000Z,Definitely! Their point of attack defense will suffer for sure but with Lopez and Giannis they’re still great at the rim. Plus the upside Dame gives you on offense in terms of efficiency and space is too great to pass on. He’s probably a perfect fit with Giannis & an aging Khris,0,1,11
JT 4 MVP,2023-09-27T23:49:21.000Z,"i totally agree that we can play lopez off the court. it’s really the only reason we have a chance, we matchup extremely well with them. i just wonder if late in game our offense can out execute a giannis/dame 2 man game. remains to be seen.",0,1,11
PBBBFlagship - the Great One,2023-09-27T19:16:21.000Z,"Also underrated is having a true PG for Giannis. The Bucks are not going to be chucking up early threes with Dame running things. 
@Dame_Lillard
 will do as much for 
@Giannis_An34
 as Giannis will for him. He’ll unlock true half-court offense for this team in the playoffs.",0,2,12
HomicidalApple,2023-09-27T20:47:27.000Z,I don't really see how dame is much change from how jrue meshed with giannis offense. You can't really have a ball dominant guard with someone like Giannis. I don't feel like this will end up being a great fit.,0,0,10
Brother Joshua,2023-09-27T21:41:29.000Z,Relieves a lot of pressure from Middleton in the half court offense. Now he can play off ball and shoot opens 3s from Dame/Giannis. Can still create if need be too,0,5,15
,2023-09-27T19:36:41.000Z,"They have Giannis, Lopez and Middleton to take care of the defense with Dame. You look at how much Jrue & others offense fell off when Giannis needed help in the offs. So I think with the Bucks that’s a risk they’re willing to take.",0,1,11
Adam Bushman,2023-09-27T18:30:46.000Z,"This does just WONDERS for MIL in crunch time. Their late game offense has been putrid. 

Now they add “Dame Time” to shooters and rim running athletes like Giannis. Wow",0,8,18
Senator Wario,2023-09-27T18:39:24.000Z,"Dame is still basically *that guy* on offense, and Giannis is Giannis, and I’m not sure how you can stop the two of them together - probably takes even more pressure off Khris, too",0,1,11
Gavin Xuande,2023-09-27T19:26:44.000Z,"Their defense is still plenty good with Giannis, BroLo and even Middleton (assuming he continues to shake off the post injury rust), but their offense just got miles better. They no longer have to depend on just Giannis in the half court, having Dame changes everything for them",0,15,15
Mantis Toboggan,2023-09-27T18:37:39.000Z,"Title favorites now easily, their offense is straight up unfair now with Dame and Giannis but also Middleton and Lopez hitting shots",0,1,11
Éscoot,2023-09-27T18:51:56.000Z,"Jrue is good, Suns big losers, Jrue is bad, Suns big winners. Need playoff defense but you also need playoff offense. Jrue's landing spot should be interesting and Dame/Giannis is a fun pairing regardless.",0,2,12
Jake Reetz,2023-09-27T22:27:01.000Z,"I’m hopeful Jae bounces back under Griffin and Khris’ defense improves without the injuries () but even if that lineup is passable defensively, having ungauardable actions on offense such as a Dame/Giannis PnR with that spacing makes up for a lot on the other end…ask Denver",0,0,10
Elliot T,2023-09-27T19:10:07.000Z,"Fair but Pat and Khris are not negative defenders, they're avg/solid. That's all you need when you have 2 of the best paint defenders in the league in giannis and brook back there. Plus jrue was terrible on offense in the playoffs, efficiency wise. Dame major upgrade there",0,6,16
BlaiseBets,2023-09-27T18:52:21.000Z,"Now, with Dame being able to run the offense in the clutch, it’s going to be VERY difficult to stop the Bucks. Between Dame’s three ball, Middleton’s midrange, and Giannis’ scoring down low, the Bucks are going to wreak havoc in all three levels.",0,3,13
Tony Pesta,2023-09-27T18:49:11.000Z,"I don't think it really matters that much

Giannis is still a DPOY-caliber player and so is Brook Lopez

Dame's contributions on offense will severely outweigh any limitations on defense, I think",0,7,17
Ian Jaeger,2023-09-27T23:24:59.000Z,"BREAKING: 18 House Republicans just voted against Chip Roy’s amendment to defund drag shows at the Department of Defense: 

1. Ken Buck (CO)
2. Calvert (CA) 
3.Chavez- DeRemer (OR) 
4. Curtis (UT) 
5.D’Esposito (NY) 
6. Duarte (CA)
7. Fitzpatrick (PA) 
8. Garbarino (NY) 
9.…",2500,3600,6100
Ben Zeisloft,2023-09-27T23:29:39.000Z,"BREAKING: Eighteen House Republicans voted against an amendment from 
@RepChipRoy
 that would have defunded drag shows and pride month events at the Defense Department:
 — Buck 
 — Calvert
 — Chavez-DeRemer
 — Curtis
 — D'Esposito
 — Duarte
 — Fitzpatrick
 — Garbarino 
 — Gonzales,…",1300,1300,2600
TatumsWrld (formerly Smartswrld),2023-09-27T20:01:22.000Z,Tatum Brown and Porzingis looking at the bucks defense in 2023,5,41,46
Giannis Lamar,2023-09-27T22:03:26.000Z,"“bUcKs bAcKcOuRt hAs nO dEfEnSe nOw”

Andre Jackson Jr:",4,27,31
𝓖𝓪𝓫𝓮,2023-09-27T18:43:40.000Z,Bucks perimeter defense without Jrue Holiday next season,5,19,24
owen,2023-09-27T23:26:55.000Z,"bucks rookie head coach
0 perimeter defense
0 depth

miami old

embiid/spida trade request by december

our conference again big bro 
@jaytatum0",71,957,1028
Boston Sports Enjoyer,2023-09-27T19:00:35.000Z,"The 76’ers have no skilled players

The Bucks have a bottom 5 defense

The Heat are old as fuck and got worse this offseason

The Celtics have a once in a lifetime big 3

THE EAST RUNS THROUGH BOSTON",22,314,336
Erika,2023-09-27T19:57:34.000Z,Bucks automatically champions to y’all Lmfaoo did you forget about defense?,2,26,28
𝓖𝓪𝓫𝓮,2023-09-27T18:57:49.000Z,Bucks defense is getting carried by him? Naw they getting cooked ,0,4,14
Ricky G,2023-09-27T20:42:00.000Z,Bucks have rim protection yes but they got no POA defense,15,127,142
D€€Z¥ ⓧ,2023-09-27T20:25:09.000Z,"The cope I'm seeing from other fanbases talking bout ""their defense is worse"" or ""they didn't get better"" jus tells me r3t4rds can't be objective and will always use biases. The same fans that wanted Dame mind you. Bucks just added a top 75 player ever let's be serious for once",16,140,156
Jake Reetz,2023-09-27T21:46:55.000Z,"For those worried about the Bucks defense falling off a cliff by trading Jrue’s point of attack defense for Dame, Cleveland had a top 5 defense last year with a Garland/Mitchell backcourt and the same defensive blueprint",8,311,319
owen,2023-09-27T18:36:51.000Z,the bucks had no one who could stop the jays and their big offseason addition was bringing in a guard who also can’t play defense,5,65,70
