Username,Time,Tweet,Retweets,Likes
Box Score Sports,2023-09-27T19:40:01.000Z,"INSANE! DAME TRADED to....the BUCKS?!??! Bucks Fan reacts! https://youtu.be/I3PJk81P0l0?si=mwx2Jw1UHvSPh_9U… via 
@YouTube
 #dame #NBA #nbatrade #trade #FearTheDeer #Blazers #basketball",0,5
ElChupetero,2023-09-27T22:46:51.000Z,"How do you #Lillard trade the biggest name in the #NBA with two other teams and come out last in the trade  asking for a friend….   
@Dame_Lillard
 @NBA
 @trailblazers
 @Bucks",0,0
BostonianVsTheBook,2023-09-27T20:31:44.000Z,"We love breaking news on BvB! 

And whoa - did the NBA give us some today! Dame Time in Milwaukee! 
@sportstalkmatt
 and 
@SportsbkConsig
 reacted to the news on the show today #BvBrigade",3,6
Daniel Okin,2023-09-27T20:47:59.000Z,Sometimes the NBA really has a habit of painting itself ,0,21
,2023-09-27T23:42:06.000Z,1x NBA Champion on there soon life is good,0,10
CBS Sports Network,2023-09-27T22:27:28.000Z,"""Damian Lillard will be playing this year in the NBA Finals! This is great for Dame, for Giannis, for Milwaukee and for the NBA.""

—
@AdamSchein
 on the Damian Lillard trade",2,10
Mac Morey,2023-09-27T21:25:31.000Z,"WOW. Still shocked by that Dame trade. Landscape of the NBA completely altered today. Emergency pod with 
@TheRonSlay
 coming tomorrow! Tune in! #btb #hesinthebuilding",1,9
Harrison Sanford,2023-09-27T19:42:10.000Z,Shoutout to Dame and the NBA for putting some ice on the Kelce/Swift overpouring of news,0,4
Sarah Ramsingh,2023-09-27T22:32:52.000Z,"It's the only win Celtics are gonna claim this year. ;)

#dame #miami #nba #ecf #bucks",0,1
Ashley Nicole Moss,2023-09-27T20:14:51.000Z,is Dame the only star in NBA history to resign with a team and then change his mind?,1,15
Letting Go,2023-09-27T20:23:24.000Z,"Dame to the Bucks is a Game changer for them. Honestly it’s a perfect fit for Dame, because it’s one of maybe 2 teams in the NBA that can mitigate his lack of defense.

It will be interesting to watch Giannis & Middleton offball & how they work in that system. But Bucks are more…",3,38
