Username,Time,Tweet,Retweets,Likes
Mack Perry,2023-09-27T21:01:05.000Z,Every season is different. How many people picked Denver to win the title last season? Cavs aren’t yet a title contender. That’s okay. We on a different timeline. The Dame trade just makes the road tougher. We good for now.,1,24
Brian Goins,2023-09-27T22:50:01.000Z,"The Miami Heat are running out of time to add a running mate w/ Jimmy (ain’t getting any younger) and Bam. Should’ve went all-in on Dame. New second apron rules beginning next offseason will limit their potential flexibility to land a star (e.g., aggregating salaries in a trade).",22,99
claire de lune,2023-09-27T21:19:02.000Z,an element i haven't seen discussed is that one thing all the owners could probably agree on was that dame's miami or bust trade demand would've set a precedent that behooves none of them---- zero chance that didn't factor into the dame to milwaukee of it all,1,24
Matt Movrich,2023-09-27T21:09:30.000Z,"Annnnd cue the NBA Lounge music on 
@WiscoGrant
 Sports Show!! Gotta Love it after the Dame Trade",1,6
NYKnicksPodcast,2023-09-27T23:08:02.000Z,"Hey, remember that time the Knicks were in the driver’s seat in a Donovan Mitchell trade?

Hey, remember that time the Heat were in the driver’s seat for a Dame trade?",1,3
Ben Detrick,2023-09-27T21:17:16.000Z,"Feels like Bucks concluded that they weren’t top-shelf contenders before public consensus, which is admirable. Think they created as many problems as they solved with Dame trade (if not more) but likelihood of a championship is higher than it was yesterday",0,23
Jordan Pagkalinawan,2023-09-27T21:18:15.000Z,"Following the blockbuster Dame trade to the #Bucks, I evaluated four teams who could trade for Jrue Holiday after his move to the #TrailBlazers.

My latest for 
@LastWordHoops
:",3,3
Covers,2023-09-27T23:13:30.000Z,"Miami Heat odds to win the NBA Championship at 
@BetMGM
 

Before Dame Lillard trade: +1000

After Dame Lillard trade: +3000",1,7
вяуαηт,2023-09-27T22:44:43.000Z,"Well, the good news is that the Dame trade finally done so we don’t have to hear the endless trade rumors we’ve heard all throughout the summer. ",0,5
flatcapgoalkeepe,2023-09-27T20:42:40.000Z,"Me not having to deal with Dame trade rumors, speculation, & hot take bullshit artists anymore. #RipCity",0,9
Harrison Faigen,2023-09-27T23:09:38.000Z,The smile of a man who knows he's not in Dame trade packages anymore,0,41
♛𝓒𝓪𝓶𝓕𝓛♛,2023-09-27T22:56:54.000Z,"Pat Riley never called the Trailblazers back to better their trade offer knowing multiple people became interested in Dame AND the trade offer was underwhelming to begin with, but yea it’s not his fault, okay",0,21
Brian Nemhauser,2023-09-27T20:49:21.000Z,"As a longtime Blazers fan, I'm really happy the Dame trade worked out like it did. He has a way better chance to win a ring with Giannas, and I'll gladly cheer for them to do it.

The team also seemed to get back closer to fair value, while jettisoning Nurkic, one of the most…",1,80
Ariel Attias,2023-09-27T23:59:34.000Z,"(Not accusing you of saying Dame trade to MIA was a matter of ""when"")",0,9
Cordemption,2023-09-27T21:10:52.000Z,The only way they could have made this Dame trade interesting lol,1,2
LadyVirgilia || P3RE THEORYCRAFTING BRAINROT,2023-09-27T20:42:22.000Z,"Uhhh wow this 3-way Dame trade is totally unexpected and huge! 
I know fosho Dubs fans are talking about trading for Jrue now... I dunno how I feel about that myself though. 

And the Suns just got a lot more depth... yikes the West is so stacked oh my god...",1,12
Mark B,2023-09-27T22:25:47.000Z,Gambo- my Portland neighbor just texted: “Your source (Gambo) was the only one that had ANY of the information about the dame trade correct !”,1,16
Roundball Rhettoric,2023-09-27T21:58:15.000Z," Giannis (tiny  if you value a more certain future)
 Jrue (assuming trade)
 Scoot/Sharpe/Simons (should have already priced in a Dame trade)

 Khris (locked in as 3rd option at best)
 Grayson (one of *many* options, also just...no)

 Little (maybe more chances?)",1,4
Miami Heat Beat (We Just Cover The Team),2023-09-27T22:00:12.000Z,"WE ARE LIVE ON 
@BR_NBA
 !!!
@gnavas103
 breaks down the Dame trade to the 
@Bucks
 and where the 
@MiamiHEAT
 go from here

Tune in live :",5,11
Scott Tobias,2023-09-27T23:28:42.000Z,Me mainlining “emergency pods” on this Dame-to-the-Bucks trade.,0,25
Kristian Winfield,2023-09-27T22:21:46.000Z,"Per 
@NBACapSquad
 the Bucks are  $1.8M shy of 2nd Apron after Dame trade . Giannis, Middleton, Lopez, Portis and Connaughton can all become FA's in 2025. '25/26 cap ballparked at ~$165M & 2nd Apron @ ~$221M.  Teams can exceed cap to re-sign own players but tax will hit hard.",6,9
Kris Pursiainen,2023-09-27T21:02:19.000Z,"New EMERGENCY episode of All Things NBA: From A to Z out now!
@ZakNoble
,  
@AnalyticsCapper
, and I broke down the Damian Lillard trade to the Milwaukee Bucks! From Phoenix's involvement to Dame and Giannis teaming up, all the analysis you need is here.

Presented by 
@BallisLife
:",14,23
Matt,2023-09-27T21:13:43.000Z,Happy with the Dame trade?,1,16
Keith Smith,2023-09-27T22:03:21.000Z,"Just finished writing up all my thoughts on today's massive Dame trade for 
@spotrac
. Should post soon!

But how are Bucks, Blazers, Suns, Heat and Raptors fans feeling now? Let me know who your team is where your head is at after this blockbuster deal!",0,28
Raptors Truth,2023-09-27T23:03:03.000Z,"Glad someone sees through the Ayton smokescreen!!! Nurk and others were traded for Ayton. The Dame trade really is for Jrue and a first. Only a back up guard with no upside went from the Dame trade to help get Ayton.

Stunningly terrible trade. Jrue won't even get a first.",0,5
Tom Haberstroh,2023-09-27T21:45:05.000Z,"NEW AT THE FINDER :

How the NBA All-Star draft predicted the Dame trade. 

And all the other megadeals in recent years. (I'm calling my shot on a future trade involving LeBron).",0,6
Aaron Mesh,2023-09-27T22:58:24.000Z,"I guess I do have one thing to add, which is that the whole Dame trade saga added the Trail Blazers to the list of things I am fundamentally cynical about, which feels like a significant loss. I’m sad about that.",0,10
Bauer - :,2023-09-27T20:37:00.000Z,"#Bucks were +650 to win the championship…
Dame trade happened & now they’re +400 to win the NBA Finals (at 
@BetMGM
)

They passed the Nuggets - who are now +475 to repeat.
(FWIW, #Suns are +650 rn at that book)",2,1
Sportsnet 590 The FAN,2023-09-27T21:05:28.000Z,"""There was always interest, determination to try to get a deal but they wanted to see if they could, knowing them, without having to give up everything.""
@michaelgrange
 on the Dame trade and #Raptors' interest with 
@Daniele_Media
 & 
@mikegentile590
. 

 http://sportsnet.ca/590/toronto-raptors-radio/damian-lillard-saga-is-over/…",10,10
Mark Schindler,2023-09-27T21:09:20.000Z,"Wrote about the Dame trade, why I love it for the Bucks, it may be better for the Suns than it looks on paper, and Portland needs to hit with the subsequent Holiday trade",11,46
Jeff Kramer,2023-09-27T23:43:13.000Z,"The value in the Dame trade also depends on how far the Bucks have fallen in the standings in 5 years.  If those picks end up in the lottery.....

Remember, for example, when Detroit traded Otis Thorpe in 1997 to Memphis for a first round pick in 2003?",0,11
Keith Smith,2023-09-27T22:16:09.000Z,"I broke down today's huge Damian Lillard trade from all angles for 
@spotrac
:

-What does it mean for MIL, Dame and Giannis?
-Where does POR go now?
-Did PHX get better?
-What about MIA and TOR?

Financial impacts for all three teams too. Read more:",6,48
Matt Gerardi,2023-09-27T21:54:02.000Z,"Low key, the Dame trade could be a huge win for him. He could thrive as a connector/cutter with that kind of spacing.",0,6
Brendan Tobin,2023-09-27T22:08:28.000Z,"Thanks to 
@BCusterTV
 for the time today. We got reaction from the man who got Damian Lillard to reveal his desire to play in Miami. 
Heard from Dame’s reps that Portland didn’t want to facilitate trade to Heat because of how Dame came out publicly 
Dame told him that he and…",20,100
