Username,Time,Tweet,Retweets,Likes
Ball Don’t Lie,2023-09-27T23:32:21.000Z,"Are the Bucks headed to the Finals with Giannis and Dame? 
@YourManDevine
 & 
@VinceGoodwill
 discuss 

https://youtu.be/0VV1VLE4UhwAPPLE…
https://apple.co/3PUxqjT
https://spoti.fi/3EWPzag",3,8
Erk - OF Free,2023-09-27T23:10:22.000Z,you can go on nba store and put any name on the jersey online,0,4
lilspon,2023-09-27T23:00:48.000Z,Literally anyone,0,3
Nadav,2023-09-27T23:25:49.000Z,"nonsense. kd came for free
bucks got dame for an allstate and another player who started 70 games. 

more then that, notice you’re saying 2021 giannis it’s the start of 23-24. steph got kd the moment he lost.",0,133
searlo Driving Crooner fleet,2023-09-27T23:53:48.000Z,"Dame to Bucks over Heat = 

Celts having to play against Bucks defence with Dame offense = ",0,1
CHGO Bulls,2023-09-27T22:32:32.000Z,"On today's show, 
@Bulls_Peck
 & 
@BawlSports
 broke down a LOT of Bulls & NBA news:

how does Dame to Bucks affect Bulls?
 Arturas Karnisovas & Marc Eversley speak...what made sense and what didn't?
 DeMar shoots down rebuild idea",3,10
4𝘵𝘩𝘘𝘶𝘢𝘳𝘵𝘦𝘳𝘋𝘦𝘔𝘢𝘳,2023-09-27T22:12:05.000Z,"Yeah except KD went to the team that lost the finals, Dame went to a first round exit",0,1
Scott Tobias,2023-09-27T23:28:42.000Z,Me mainlining “emergency pods” on this Dame-to-the-Bucks trade.,0,25
Nick (boston sports enjoyer),2023-09-27T23:00:46.000Z,"Jimmy using Dame celebrations: Flirting
Bucks getting Giannis’ “preferred teammate”: harassment",1,29
Dcentric,2023-09-27T22:25:51.000Z,When’s the roster update?  tryna cook someone with the Bucks.,0,7
Tglizz,2023-09-27T23:50:32.000Z,"He already had this song pre recorded and ready to drop lol! Good luck with the Bucks Dame, don’t worry about what the haters and critics say!",3,33
Fexi,2023-09-27T23:01:02.000Z,i will stop them,0,0
yoyocoño,2023-09-27T23:03:30.000Z,Absolutely fucking not,0,18
Timothy J Henton,2023-09-27T23:59:32.000Z,Thanks so much Dame for an amazing decade.  Rooting for you!,0,4
reese,2023-09-27T22:29:54.000Z,If harden had comparable value to jrue in trade landscape wouldnt sixers have been able to do the same deal for dame bucks just did? So i assume would need more assets,0,1
R・クライド(Clyde),2023-09-27T22:20:02.000Z,"Dame,Thank you for everything

Best wishes for your career",0,1
ESPN 1000,2023-09-27T22:59:31.000Z,"9/27 Waddle & Silvy Pod- 
@WaddleandSilvy
 @TWaddle87
-Seiya's slip up and Brant Brown flashbacks
-
@JesseRogersESPN
 from Atlanta
-Justin Fields addresses his struggles
-Dame to the Bucks, Bulls sit out
-
@RealMikeWilbon
Listen on the ESPN Chicago App:",6,5
Norman Xavier,2023-09-27T22:53:16.000Z,Dame! Not sure how you feel about the trade but the WHOLE east coast is excited to see you at an earlier time.,0,0
Chad Gigaski,2023-09-27T22:42:22.000Z,"but bucks pop up outta nowhere as if dame didn't know that was an option with giannis, and dame is perfectly happy . Whole heat fanbase was played by dame bucks tampered while ago",0,2
zack oliver,2023-09-27T23:32:29.000Z,"Good luck with the Bucks, Dame. Its been real.
Thanks for cooking Paul George with that game winner",0,1
Lance P,2023-09-27T22:57:59.000Z,I was on my way to the gym saw the Dame news and said sorry gym I'm out,0,2
Michael Grange,2023-09-27T23:04:53.000Z,Interesting detail in Dame-to-Bucks deal:,0,18
Derek W Wyatt - PDX Realtor,2023-09-27T23:34:33.000Z,DM me a price for a Dame & Giannis as Bucks teammates original painting.,0,3
Chauncey57,2023-09-27T22:58:24.000Z,"Nah Dame leaving is best for everyone in the grand scheme. Dude didn’t quit on them, and he got sent to a contender. Blazers got back some nice pieces. Win win",0,2
Waiting for Dame time,2023-09-27T23:34:23.000Z,"I know it sucks Portland lost Dame, but I am still going to be excited to see Scoot and Anfernee play!",0,1
Mike Schott,2023-09-27T22:27:02.000Z,"Dame, lifelong Blazer fan and local guy here. Been a gigantic fan of yours ever since your pre-draft workout vids were floating around and rumblings of the kid turning heads at the combine etc. I was ecstatic when we drafted you and it’s been that way for me from day 1.",0,0
MTNY,2023-09-27T22:43:32.000Z,"@Dame_Lillard
 you Shouldnt feel the need the explain yourself uno how quickly the media will flip anything you say to change to narrative, stay on the grind for yourself knowone else ",0,0
