Username,Time,Tweet,Retweets,Likes
The Gina V,2023-09-27T23:44:31.000Z,"TAP IN TONIGHT 6:30/9:30est on Sports, Laugh & Chill 
@SportLaughChill
 w/ me, 
@Rod_cali247
 @Danmartymar33
 @Big75Fella
 @TheWiseSole
 @DennisMortonJr
 TOPICS: #Deion Sanders, Damian Lillard, and more! #DeionSanders #DamianLillard #NFL #NBA #NCAA",10,13
Gerald Bourguet,2023-09-27T22:45:19.000Z,"The Suns are reportedly trading Deandre Ayton and Toumani Camara in a 3-team Damian Lillard deal for Jusuf Nurkic, Nassir Little, Grayson Allen and Keon Johnson. For 
@PHNX_Suns
, here are 3 immediate takeaways from yours truly: https://bit.ly/3EWdE1e",4,60
Keith Smith,2023-09-27T23:35:42.000Z,"I know Damian Lillard is already really popular, but I wonder if even more people will become fans now that more than half his games won't be played at 10 PM ET or later?",41,507
Marques Eversoll,2023-09-27T23:06:33.000Z,UPDATE: I still can’t believe the #Bucks got Damian Lillard.,1,112
Justin García |,2023-09-27T20:56:30.000Z,"Damian Lillard lead the league last year in scoring as the ball handler in pick and roll situations.
Good luck deciding who you stick with, Dame with the ball or Giannis rolling to the rim",9,80
Heat Nation,2023-09-27T21:56:22.000Z,Tyler Herro backs Jimmy Butler’s request for Bucks to be investigated for tampering in Damian Lillard deal:,26,342
𝐓𝐚𝐥𝐤𝐢𝐧' 𝐍𝐁𝐀,2023-09-27T21:39:22.000Z,"Damian Lillard reunites with former Trail Blazers coach, Terry Stotts on the Bucks.

Stotts is now an assistant coach to new Milwaukee head coach Adrian Griffin.",4,21
Sam Amico,2023-09-27T23:22:40.000Z,"Damian Lillard, Kevin Durant, Bradley Beal and probably a few others I’m forgetting have all said they wanted to play for the Heat in the last year or so. Miami got none.",24,126
Pascal Propaganda,2023-09-27T23:36:14.000Z,This makes the story about how Damian Lillard wouldn't come to Toronto because of how Masai Ujiri betrayed his best friend DeMar DeRozan even funnier,8,35
Blazers Brasil,2023-09-27T22:49:22.000Z,"A era Lillard oficialmente chegou ao fim.

- Portland: Deandre Ayton, Jrue Holiday, Toumani Camara, pick 1º round MIL (2029 sem proteção), pick swaps MIL (2028/2030)

- Phoenix: Jusuf Nurkic, Grayson Allen, Nassir Little e Keon Johnson

- Milwaukee: Damian Lillard

- Miami: Heat",2,32
