Username,Time,Tweet,Retweets,Likes
Massa,2023-09-27T23:00:41.000Z,"DAMIAN LILLARD MILWAUKEE BUCKS REBUILD! NBA 2K24 https://youtu.be/-H1rTmPjxIw?si=3xXtsDEsfX7FwswH… via 
@YouTube",0,4
cloud girl,2023-09-27T20:32:52.000Z,It’s means the bucks r basically the 2024 nba champions,0,93
BK,2023-09-27T19:53:46.000Z,"Upon conclusion of this investigation into the Milwaukee Bucks tampering, the NBA has decided to strip the Chicago Bulls of their next second round pick",0,17
Morris Stephens,2023-09-27T21:16:28.000Z,"""Damian Lillard's: Game-Changing Trade: Milwaukee Bucks: NBA Trades:""** ... https://youtu.be/r1CI80dPlIs?si=NPgPcjWzg8jONDq-… via 
@YouTube",0,1
Ultimate Basketball,2023-09-27T20:56:02.000Z,"Damian Lillard trade to the Bucks #NBA #lillard #jrueholiday #jrue #bucks #Giannis #NBATwitter #NBA2K24 #NBA2K 
https://youtu.be/lI3VOfLjfyM?si=gOG1H015lkOfgFCf… via 
@YouTube",0,0
Dan Shafer,2023-09-27T21:09:29.000Z,"The NBA moves fast. The Bucks have been championship contenders since 2019, but to keep that title window open, evolution is essential.

The Jrue trade was the first all-in moment and it brought a title to Milwaukee. In order to compete for another one, you have to keep evolving.",3,38
12oz Sports,2023-09-27T20:42:50.000Z,Damian Lillard traded to Bucks https://12ozsports.com/damian-lillard-traded-bucks/… #NBA #Milwaukeebucks,0,1
Marshall,2023-09-27T22:01:29.000Z,"Bucks - NBA Champions 2024. 

Save this Tweet. 
You read it here first.",0,1
BullsKickAss,2023-09-27T21:20:57.000Z,Suns or Bucks Duo NBA Twitter?,2,4
Grant Afseth,2023-09-27T23:43:09.000Z,"A lot can change in the NBA in the span of just two years.

Devin Booker is the only player remaining from the Phoenix Suns’ 2021 NBA Finals team. 

The Milwaukee Bucks have since swapped out Jrue Holiday for Damian Lillard.

And the Portland Trail Blazers traded a few players…",8,163
HipHopWired,2023-09-27T23:35:49.000Z,"Damian Lillard Traded To The Milwaukee Bucks, NBA Twitter In Shambles https://hiphopwired.com/playlist/damian-lillard-traded-milwaukee-bucks-reactions/… Photo: Getty #DameTime #DamianLillard #NBATwitter",2,1
Vincent Goodwill,2023-09-27T23:20:38.000Z,"The Bucks and Suns were in the Finals two years ago. Now, they both look drastically different. The NBA moves faster than ever, quicker than ever",9,44
Kris Pursiainen,2023-09-27T21:02:19.000Z,"New EMERGENCY episode of All Things NBA: From A to Z out now!
@ZakNoble
,  
@AnalyticsCapper
, and I broke down the Damian Lillard trade to the Milwaukee Bucks! From Phoenix's involvement to Dame and Giannis teaming up, all the analysis you need is here.

Presented by 
@BallisLife
:",14,23
Wicks Szn,2023-09-27T22:45:35.000Z,"No bucks fans hate him, just annoyed by his shooting performances in the playoffs, we still love Jrue over here bro",0,28
OutKick Bets,2023-09-27T21:00:00.000Z,"Are you betting the 
@Bucks
 to the 2023-24 NBA title after they traded for 
@Dame_Lillard
?",3,4
NBA TV,2023-09-27T21:18:18.000Z,"""From the Bucks standpoint, it was a difficult task to include Jrue Holiday...they felt like Damian Lillard embodied what the Milwaukee Bucks organization is all about.""
@ChrisBHaynes
 with the latest on the blockbuster Damian Lillard trade live NOW on NBA TV",67,164
Warriors on NBCS,2023-09-27T21:59:38.000Z,"As the Bucks, Blazers and Suns sent shockwaves through the NBA, the Warriors slept through the Damian Lillard tremors (via 
@MontePooleNBCS
)",24,267
Jeremy Cluff,2023-09-27T22:47:21.000Z,Both the #Suns and #Bucks' #NBA title odds went up after the trade involving Damian Lillard and Deandre Ayton. One of them now has the best odds to win the NBA championship in the upcoming season. #FearTheDeer #WeAreTheValley,1,1
Jerry Windisch,2023-09-27T22:15:18.000Z,The fire takes give it away don’t they? Unfortunately Ti bears the burden of being my youngest cuz. Been a privilege to watch/listen to him ascend the ranks of Bucks/NBA talk over the years.,0,1
NBABet,2023-09-27T20:41:59.000Z,"Current odds to win the NBA Finals  

+360: Bucks
+490: Celtics
+500: Nuggets
+600: Suns
+1400: Lakers
+1600: Warriors
+2000: Cavaliers, Clippers, 76ers
+2700: Heat, Mavs
+3000: Grizzlies
+3600: Knicks
+4700: Pelicans
+5000: Kings
+8000: Timberwolves

(via ",7,12
NJ.com Sports,2023-09-27T20:22:02.000Z,Damian Lillard traded to Milwaukee: How it affects the Bucks’ NBA Championship odds,0,0
Spotrac,2023-09-27T22:19:23.000Z,"@KeithSmithNBA
 doesn't grade trades - he writes novels about them.

Keith's early analysis of today's blockbuster NBA trade from the #Blazers, #Suns, & #Bucks, with additional thoughts on the #Raptors & #Heat.",2,23
